id,period,gender,age_group,brand,ratio,timestamp
15688,2024-01-02,female,20대,파워에이드,9.46,2025-03-24 12:29:23.227681
15686,2024-01-02,female,20대,포카리스웨트,25.14,2025-03-24 12:29:23.227681
17930,2024-01-02,female,30대,링티,52.48,2025-03-24 12:29:23.227681
17929,2024-01-02,female,30대,토레타,9.92,2025-03-24 12:29:23.227681
17927,2024-01-02,female,30대,게토레이,4.55,2025-03-24 12:29:23.227681
17928,2024-01-02,female,30대,파워에이드,6.61,2025-03-24 12:29:23.227681
17926,2024-01-02,female,30대,포카리스웨트,26.45,2025-03-24 12:29:23.227681
20170,2024-01-02,female,40대,링티,45.86,2025-03-24 12:29:23.227681
20169,2024-01-02,female,40대,토레타,6.55,2025-03-24 12:29:23.227681
20167,2024-01-02,female,40대,게토레이,5.78,2025-03-24 12:29:23.227681
20168,2024-01-02,female,40대,파워에이드,9.63,2025-03-24 12:29:23.227681
20166,2024-01-02,female,40대,포카리스웨트,32.18,2025-03-24 12:29:23.227681
22410,2024-01-02,female,50대,링티,52.02,2025-03-24 12:29:23.227681
22409,2024-01-02,female,50대,토레타,2.53,2025-03-24 12:29:23.227681
22407,2024-01-02,female,50대,게토레이,6.06,2025-03-24 12:29:23.227681
22408,2024-01-02,female,50대,파워에이드,7.07,2025-03-24 12:29:23.227681
22406,2024-01-02,female,50대,포카리스웨트,32.32,2025-03-24 12:29:23.227681
24650,2024-01-02,female,60대 이상,링티,21.57,2025-03-24 12:29:23.227681
24649,2024-01-02,female,60대 이상,토레타,7.84,2025-03-24 12:29:23.227681
24647,2024-01-02,female,60대 이상,게토레이,5.88,2025-03-24 12:29:23.227681
24648,2024-01-02,female,60대 이상,파워에이드,5.88,2025-03-24 12:29:23.227681
24646,2024-01-02,female,60대 이상,포카리스웨트,58.82,2025-03-24 12:29:23.227681
10,2024-01-02,male,10대,링티,18.18,2025-03-24 12:29:23.227681
9,2024-01-02,male,10대,토레타,6.82,2025-03-24 12:29:23.227681
7,2024-01-02,male,10대,게토레이,6.82,2025-03-24 12:29:23.227681
8,2024-01-02,male,10대,파워에이드,27.27,2025-03-24 12:29:23.227681
6,2024-01-02,male,10대,포카리스웨트,40.91,2025-03-24 12:29:23.227681
